"NOP_method","CC_method","ATFD_method","FDP_method","CM_method","MAXNESTING_method","LOC_method","CYCLO_method","NMCS_method","NOLV_method","MaMCL_method","NOAV_method","LAA_method","FANOUT_method","CFNAMM_method","ATLD_method","CLNAMM_method","CINT_method","MeMCL_method","CDISP_method","NOII_type","NOAM_type","NOCS_type","NOM_type","NMO_type","ATFD_type","FANOUT_type","NOMNAMM_type","NOA_type","NIM_type","DIT_type","LOC_type","LOCNAMM_type","CFNAMM_type","TCC_type","NOPA_type","CBO_type","RFC_type","NOC_type","WMC_type","LCOM5_type","WOC_type","WMCNAMM_type","AMW_type","AMWNAMM_type","NOCS_package","NOMNAMM_package","NOI_package","LOC_package","NOM_package","NOPK_project","NOCS_project","NOI_project","NOM_project","NOMNAMM_project","LOC_project","is_switch_statements"
0,0,"0.0","0.0",0,2,6,3,0,0,0,"1.0","1.0",0,1,"1.0",0,0,0,0,0,8,0,30,"12.0",4,10,22,8,"111.0","3.0",377,310,1214,0.0571428571428571,0,32,208,"0.0",61,0.943965517241379,"0.681818181818182",51,2.03333333333333,2.31818181818182,38,198,0,4223,240,43,849,78,5788,4778,65687,"false"
0,0,"0.0","0.0",0,1,3,1,0,0,0,"6.0","0.0",0,0,"0.0",0,0,0,0,0,2,1,16,"0.0",7,10,14,6,"8.0","3.0",197,179,640,0.305555555555556,0,10,41,"0.0",31,0.855555555555556,"1.0",28,1.9375,2,4,27,0,516,29,43,849,78,5788,4778,65687,"false"
1,1,"0.0","0.0",1,1,3,1,0,1,0,"2.0","1.0",0,0,"1.0",0,0,0,0,1,1,0,5,"0.0",3,6,4,2,"0.0","1.0",66,44,77,0.5,0,9,18,"0.0",10,0.75,"0.75",8,2,2,17,82,1,906,90,43,849,78,5788,4778,65687,"false"
2,1,"0.0","0.0",1,1,3,1,0,2,0,"2.0","0.0",0,1,"0.0",0,0,0,0,1,0,0,1,"0.0",0,0,1,0,"4.0","3.0",9,9,3,1,0,3,6,"0.0",1,0,"1.0",1,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,"false"
1,0,"0.0","0.0",0,2,8,2,0,2,0,"1.0","0.0",0,0,"0.0",0,0,0,0,0,0,13,71,"0.0",4,14,71,5,"0.0","1.0",1327,1327,1192,0.000426257459505541,2,8,96,"0.0",186,1,"0.971830985915493",186,2.61971830985915,2.61971830985915,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
1,0,"0.0","0.0",0,1,3,1,0,1,0,"3.0","1.0",0,0,"3.0",0,0,0,0,1,0,0,9,"0.0",5,9,9,4,"17.0","3.0",77,77,152,0.166666666666667,0,12,30,"0.0",12,0.9375,"1.0",12,1.33333333333333,1.33333333333333,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
0,1,"0.0","0.0",1,1,3,1,0,0,0,"1.0","1.0",0,1,"1.0",0,0,0,0,0,2,0,12,"1.0",1,1,10,4,"5.0","2.0",86,74,80,0.527272727272727,1,4,22,"0.0",20,0.818181818181818,"0.769230769230769",18,1.66666666666667,1.8,18,108,8,1339,136,43,849,78,5788,4778,65687,"false"
1,2,"0.0","0.0",2,1,4,1,0,1,0,"2.0","1.0",0,0,"1.0",0,0,0,0,1,2,0,5,"0.0",0,1,3,1,"0.0","1.0",27,17,6,0,0,1,6,"0.0",5,1,"0.6",3,1,1,30,76,2,1343,128,43,849,78,5788,4778,65687,"false"
0,0,"0.0","0.0",0,2,18,1,0,0,0,"2.0","1.0",2,4,"1.0",0,2,0,1,0,7,4,14,"0.0",0,2,7,14,"539.0","6.0",271,114,108,0,2,2,16,"0.0",26,0.934065934065934,"0.333333333333333",13,1.85714285714286,1.85714285714286,10,35,0,646,47,43,849,78,5788,4778,65687,"false"
1,1,"0.0","0.0",1,3,18,4,0,2,0,"6.0","1.0",2,8,"4.0",0,4,0,0.5,0,2,4,12,"0.0",2,12,10,12,"536.0","6.0",239,227,358,0.416666666666667,0,13,37,"0.0",20,0.931818181818182,"1.0",18,1.66666666666667,1.8,23,60,1,1234,72,43,849,78,5788,4778,65687,"false"
1,0,"0.0","0.0",0,5,23,2,0,3,0,"3.0","1.0",1,2,"1.0",0,1,0,1,1,0,1,2,"0.0",3,7,2,1,"0.0","1.0",51,51,30,1,0,6,12,"0.0",8,0,"1.0",8,4,4,18,102,0,1212,120,43,849,78,5788,4778,65687,"false"
0,0,"0.0","0.0",0,4,14,4,0,2,0,"6.0","1.0",3,8,"4.0",0,4,0,0.75,0,3,0,14,"1.0",1,3,11,2,"27.0","3.0",95,77,140,0,0,7,41,"0.0",23,0.846153846153846,"0.8",18,1.64285714285714,1.63636363636364,18,102,0,1212,120,43,849,78,5788,4778,65687,"false"
1,0,"3.0","2.0",0,4,41,4,1,8,2,"22.0","0.5",6,10,"3.0",0,12,2,0.5,0,2,1,16,"0.0",7,10,14,6,"8.0","3.0",197,179,640,0.305555555555556,0,10,41,"0.0",31,0.855555555555556,"1.0",28,1.9375,2,4,27,0,516,29,43,849,78,5788,4778,65687,"true"
0,9,"1.0","1.0",11,5,32,8,0,4,0,"8.0","1.0",2,8,"3.0",0,4,0,0.5,2,5,0,19,"1.0",1,2,14,12,"0.0","1.0",208,114,184,0.1,2,2,25,"0.0",37,0.976851851851852,"0.705882352941177",22,1.94736842105263,1.57142857142857,34,523,11,6037,728,43,849,78,5788,4778,65687,"false"
1,0,"2.0","1.0",0,4,43,5,0,10,0,"13.0","0.333333333333333",2,4,"1.0",0,2,0,1,1,9,8,48,"0.0",17,25,39,54,"534.0","6.0",1116,1063,1992,0.0540540540540541,34,23,104,"0.0",115,0.994877856579984,"0.402777777777778",105,2.39583333333333,2.69230769230769,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
2,0,"6.0","3.0",0,4,57,12,0,8,0,"14.0","0.166666666666667",5,14,"1.0",0,8,0,0.625,1,9,8,48,"0.0",17,25,39,54,"534.0","6.0",1116,1063,1992,0.0540540540540541,34,23,104,"0.0",115,0.994877856579984,"0.402777777777778",105,2.39583333333333,2.69230769230769,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
1,0,"1.0","1.0",0,4,24,5,0,7,0,"8.0","0.0",1,4,"0.0",0,2,0,0.5,0,0,13,71,"0.0",4,14,71,5,"0.0","1.0",1327,1327,1192,0.000426257459505541,2,8,96,"0.0",186,1,"0.971830985915493",186,2.61971830985915,2.61971830985915,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
2,0,"0.0","0.0",0,4,14,4,0,4,0,"8.0","0.0",0,0,"0.0",0,0,0,0,0,0,1,25,"0.0",1,3,25,8,"0.0","1.0",615,615,292,0.00395256916996047,2,2,30,"0.0",100,1,"0.92",100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
3,0,"0.0","0.0",0,4,53,9,0,15,0,"17.0","1.0",5,20,"2.0",0,10,0,0.5,1,0,2,9,"0.0",2,10,9,2,"15.0","2.0",158,158,346,0.666666666666667,0,10,36,"0.0",24,0.6875,"1.0",24,2.66666666666667,2.66666666666667,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
1,0,"2.0","2.0",0,5,28,5,0,6,0,"9.0","0.5",4,16,"1.0",0,8,0,0.5,1,0,0,8,"0.0",4,8,8,1,"17.0","3.0",131,131,320,0.142857142857143,0,11,30,"0.0",16,0.714285714285714,"1.0",16,2,2,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
3,1,"6.0","2.0",1,4,49,10,0,11,0,"19.0","0.142857142857143",5,20,"1.0",0,11,0,0.454545454545455,1,0,0,8,"0.0",10,12,8,2,"15.0","2.0",132,132,386,0.476190476190476,0,14,45,"0.0",21,0.785714285714286,"1.0",21,2.625,2.625,74,380,4,5031,435,43,849,78,5788,4778,65687,"true"
4,0,"2.0","2.0",0,5,44,8,0,10,0,"18.0","0.8",6,12,"4.0",0,8,0,0.75,1,1,7,18,"0.0",14,21,17,8,"15.0","2.0",660,647,1100,0.714285714285714,0,15,67,"0.0",67,0.889705882352941,"1.0",66,3.72222222222222,3.88235294117647,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
1,0,"4.0","3.0",0,4,40,6,0,6,0,"13.0","0.428571428571429",6,12,"3.0",0,11,0,0.545454545454545,0,2,0,11,"0.0",4,8,9,4,"21.0","4.0",134,117,248,0.285714285714286,0,14,38,"18.0",21,0.9,"0.833333333333333",18,1.90909090909091,2,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
0,1,"1.0","1.0",1,4,14,4,0,3,0,"6.0","0.5",1,2,"1.0",0,1,0,1,0,2,0,12,"1.0",1,1,10,4,"5.0","2.0",86,74,80,0.527272727272727,1,4,22,"0.0",20,0.818181818181818,"0.769230769230769",18,1.66666666666667,1.8,18,108,8,1339,136,43,849,78,5788,4778,65687,"false"
3,0,"0.0","0.0",0,4,26,11,0,7,0,"7.0","0.0",0,0,"0.0",0,0,0,0,1,27,0,98,"4.0",14,21,71,23,"516.0","4.0",1350,995,9678,0.0711039828922748,4,23,185,"0.0",277,0.98027790228597,"0.6",203,2.8265306122449,2.85915492957746,59,322,2,6298,410,43,849,78,5788,4778,65687,"false"
0,0,"4.0","2.0",0,4,77,19,1,9,2,"17.0","0.428571428571429",7,14,"3.0",0,12,2,0.583333333333333,1,27,0,98,"4.0",14,21,71,23,"516.0","4.0",1350,995,9678,0.0711039828922748,4,23,185,"0.0",277,0.98027790228597,"0.6",203,2.8265306122449,2.85915492957746,59,322,2,6298,410,43,849,78,5788,4778,65687,"true"
1,0,"15.0","3.0",0,5,52,10,0,2,0,"20.0","0.0",3,4,"0.0",0,4,0,0.75,1,0,0,1,"0.0",15,3,1,0,"0.0","1.0",57,57,8,1,0,4,5,"0.0",10,0,"1.0",10,10,10,23,60,1,1234,72,43,849,78,5788,4778,65687,"true"
0,1,"3.0","2.0",1,6,47,11,0,8,0,"19.0","0.0",4,17,"0.0",0,9,0,0.444444444444444,1,29,18,123,"17.0",50,138,94,108,"77.0","2.0",1957,1669,51801,0.0126126126126126,87,145,571,"0.0",273,0.99210686095932,"0.404145077720207",234,2.21951219512195,2.48936170212766,38,198,0,4223,240,43,849,78,5788,4778,65687,"false"
1,0,"6.0","5.0",0,6,161,20,0,18,0,"27.0","0.166666666666667",8,34,"1.0",0,22,0,0.363636363636364,1,0,0,9,"0.0",7,8,9,1,"0.0","1.0",236,236,302,0,0,11,35,"0.0",33,0.875,"1.0",33,3.66666666666667,3.66666666666667,4,27,0,516,29,43,849,78,5788,4778,65687,"true"
2,0,"1.0","1.0",0,6,88,28,0,10,0,"41.0","0.0",3,12,"0.0",0,6,0,0.5,0,30,0,42,"1.0",1,5,12,15,"0.0","1.0",381,145,1016,0.0850202429149798,0,6,62,"0.0",70,0.939837398373984,"0.268292682926829",40,1.66666666666667,3.33333333333333,34,523,11,6037,728,43,849,78,5788,4778,65687,"true"
0,0,"5.0","2.0",0,6,183,5,0,13,0,"30.0","0.692307692307692",9,20,"9.0",0,13,0,0.692307692307692,1,9,8,48,"0.0",17,25,39,54,"534.0","6.0",1116,1063,1992,0.0540540540540541,34,23,104,"0.0",115,0.994877856579984,"0.402777777777778",105,2.39583333333333,2.69230769230769,50,388,3,8258,437,43,849,78,5788,4778,65687,"true"
2,2,"0.0","0.0",2,6,73,12,0,10,0,"10.0","0.0",0,0,"0.0",0,0,0,0,0,0,13,71,"0.0",4,14,71,5,"0.0","1.0",1327,1327,1192,0.000426257459505541,2,8,96,"0.0",186,1,"0.971830985915493",186,2.61971830985915,2.61971830985915,50,388,3,8258,437,43,849,78,5788,4778,65687,"false"
1,5,"0.0","0.0",6,7,49,12,0,8,0,"7.0","0.0",0,0,"0.0",0,0,0,0,0,0,1,25,"0.0",1,3,25,8,"0.0","1.0",615,615,292,0.00395256916996047,2,2,30,"0.0",100,1,"0.92",100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,"true"
1,1,"0.0","0.0",1,7,63,11,0,8,0,"7.0","0.0",0,0,"0.0",0,0,0,0,0,0,1,25,"0.0",1,3,25,8,"0.0","1.0",615,615,292,0.00395256916996047,2,2,30,"0.0",100,1,"0.92",100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,"true"
1,0,"0.0","0.0",0,6,163,29,0,12,0,"25.0","1.0",0,0,"4.0",0,0,0,0,0,7,0,90,"1.0",0,1,83,18,"0.0","1.0",2829,2637,54,0.0424555364314401,4,1,91,"1.0",252,0.971910112359551,"0.845070422535211",242,2.8,2.91566265060241,50,388,3,8258,437,43,849,78,5788,4778,65687,"true"
3,0,"1.0","1.0",0,7,53,12,0,12,0,"15.0","1.0",4,12,"1.0",0,7,0,0.571428571428571,0,0,0,4,"0.0",2,6,4,1,"15.0","2.0",91,91,94,1,0,6,19,"0.0",16,0.333333333333333,"1.0",16,4,4,74,380,4,5031,435,43,849,78,5788,4778,65687,"true"
4,2,"1.0","1.0",2,6,107,22,0,26,0,"32.0","0.666666666666667",6,12,"2.0",0,10,0,0.6,1,1,7,18,"0.0",14,21,17,8,"15.0","2.0",660,647,1100,0.714285714285714,0,15,67,"0.0",67,0.889705882352941,"1.0",66,3.72222222222222,3.88235294117647,74,380,4,5031,435,43,849,78,5788,4778,65687,"true"
5,0,"2.0","2.0",0,6,73,11,0,20,0,"24.0","0.0",7,18,"0.0",0,13,0,0.538461538461538,1,0,0,2,"0.0",3,7,2,0,"0.0","1.0",81,81,54,0,0,9,15,"0.0",12,0,"1.0",12,6,6,74,380,4,5031,435,43,849,78,5788,4778,65687,"false"
4,0,"0.0","0.0",0,6,53,8,0,12,0,"14.0","1.0",0,0,"2.0",0,0,0,0,0,0,0,5,"0.0",1,2,5,4,"0.0","1.0",170,170,58,0.666666666666667,2,2,10,"0.0",24,0.8125,"0.666666666666667",24,4.8,4.8,18,108,8,1339,136,43,849,78,5788,4778,65687,"true"
1,0,"0.0","0.0",0,6,50,15,0,10,0,"13.0","1.0",2,6,"1.0",0,3,0,0.666666666666667,1,27,0,98,"4.0",14,21,71,23,"516.0","4.0",1350,995,9678,0.0711039828922748,4,23,185,"0.0",277,0.98027790228597,"0.6",203,2.8265306122449,2.85915492957746,59,322,2,6298,410,43,849,78,5788,4778,65687,"true"
2,0,"2.0","2.0",0,6,31,6,0,10,0,"14.0","0.666666666666667",2,6,"2.0",0,4,0,0.5,0,1,1,17,"0.0",11,10,16,7,"3.0","2.0",323,274,650,0.0222222222222222,0,18,53,"0.0",43,0.946428571428571,"0.909090909090909",37,2.52941176470588,2.3125,5,23,0,391,26,43,849,78,5788,4778,65687,"false"
0,0,"4.0","3.0",0,6,56,8,0,11,0,"22.0","0.777777777777778",6,18,"7.0",0,9,0,0.666666666666667,0,1,1,17,"0.0",11,10,16,7,"3.0","2.0",323,274,650,0.0222222222222222,0,18,53,"0.0",43,0.946428571428571,"0.909090909090909",37,2.52941176470588,2.3125,5,23,0,391,26,43,849,78,5788,4778,65687,"false"
1,0,"0.0","0.0",0,1,3,1,0,1,0,"0.0","0.0",0,0,"0.0",0,0,0,0,1,0,2,29,"0.0",106,25,29,4,"0.0","1.0",1371,1371,4344,0,0,27,87,"0.0",328,0.723214285714286,"1.0",328,11.3103448275862,11.3103448275862,8,97,1,2639,106,4,48,1,245,233,6694,"false"
1,0,"0.0","0.0",0,2,6,3,0,1,0,"1.0","0.0",0,0,"0.0",0,0,0,0,1,0,2,29,"0.0",106,25,29,4,"0.0","1.0",1371,1371,4344,0,0,27,87,"0.0",328,0.723214285714286,"1.0",328,11.3103448275862,11.3103448275862,8,97,1,2639,106,4,48,1,245,233,6694,"false"
1,0,"0.0","0.0",0,2,6,3,0,1,0,"1.0","0.0",0,0,"0.0",0,0,0,0,1,0,2,29,"0.0",106,25,29,4,"0.0","1.0",1371,1371,4344,0,0,27,87,"0.0",328,0.723214285714286,"1.0",328,11.3103448275862,11.3103448275862,8,97,1,2639,106,4,48,1,245,233,6694,"false"
1,0,"0.0","0.0",0,1,4,1,0,2,0,"1.0","0.0",0,0,"0.0",0,0,0,0,1,0,2,29,"0.0",106,25,29,4,"0.0","1.0",1371,1371,4344,0,0,27,87,"0.0",328,0.723214285714286,"1.0",328,11.3103448275862,11.3103448275862,8,97,1,2639,106,4,48,1,245,233,6694,"false"
0,1,"0.0","0.0",1,1,4,1,0,0,0,"1.0","1.0",1,2,"1.0",0,1,0,1,0,1,0,25,"0.0",11,14,24,6,"0.0","1.0",312,304,670,0.833333333333333,0,15,41,"0.0",62,0.701388888888889,"0.923076923076923",61,2.48,2.54166666666667,8,97,1,2639,106,4,48,1,245,233,6694,"false"
1,1,"0.0","0.0",5,2,16,2,0,3,0,"6.0","1.0",2,4,"3.0",0,2,0,1,0,1,0,25,"0.0",11,14,24,6,"0.0","1.0",312,304,670,0.833333333333333,0,15,41,"0.0",62,0.701388888888889,"0.923076923076923",61,2.48,2.54166666666667,8,97,1,2639,106,4,48,1,245,233,6694,"false"
0,0,"0.0","0.0",0,2,7,2,0,1,0,"3.0","1.0",0,0,"2.0",0,0,0,0,0,1,0,25,"0.0",11,14,24,6,"0.0","1.0",312,304,670,0.833333333333333,0,15,41,"0.0",62,0.701388888888889,"0.923076923076923",61,2.48,2.54166666666667,8,97,1,2639,106,4,48,1,245,233,6694,"false"
0,0,"0.0","0.0",0,2,9,4,0,1,0,"2.0","1.0",0,0,"1.0",0,0,0,0,1,8,0,32,"0.0",2,1,24,11,"0.0","1.0",590,550,72,0.191666666666667,0,3,34,"0.0",174,0.777126099706745,"0.578947368421053",166,5.4375,6.91666666666667,8,97,1,2639,106,4,48,1,245,233,6694,"false"
4,0,"0.0","0.0",0,1,3,1,0,4,0,"4.0","0.0",1,2,"0.0",0,1,0,1,1,8,0,32,"0.0",2,1,24,11,"0.0","1.0",590,550,72,0.191666666666667,0,3,34,"0.0",174,0.777126099706745,"0.578947368421053",166,5.4375,6.91666666666667,8,97,1,2639,106,4,48,1,245,233,6694,"false"
3,2,"0.0","0.0",1,2,11,3,0,5,0,"5.0","0.0",0,0,"0.0",0,0,0,0,0,0,0,24,"0.0",22,0,24,2,"0.0","1.0",669,669,0,0,2,1,24,"0.0",251,1,"0.923076923076923",251,10.4583333333333,10.4583333333333,5,33,0,943,34,4,48,1,245,233,6694,"false"
9,1,"1.0","1.0",1,1,12,1,0,9,0,"18.0","0.888888888888889",0,1,"8.0",0,0,0,0,0,0,2,2,"0.0",0,0,2,8,"0.0","2.0",76,76,8,1,8,2,3,"0.0",2,2,"0.2",2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,"false"
3,3,"0.0","0.0",3,1,5,1,0,3,0,"6.0","1.0",0,0,"3.0",0,0,0,0,0,0,0,2,"0.0",0,0,2,3,"0.0","1.0",22,22,0,1,3,0,2,"1.0",2,2,"0.4",2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,"false"
5,2,"0.0","0.0",2,1,7,1,0,5,0,"10.0","1.0",0,0,"5.0",0,0,0,0,0,0,0,1,"0.0",0,0,1,5,"0.0","1.0",20,20,0,1,5,1,1,"0.0",1,0,"0.166666666666667",1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,"false"
1,0,"1.0","1.0",0,1,3,1,0,1,0,"1.0","0.0",0,0,"0.0",0,0,0,0,0,0,0,31,"0.0",173,4,31,2,"0.0","1.0",828,828,1106,0,0,36,44,"0.0",213,0.666666666666667,"1.0",213,6.87096774193548,6.87096774193548,3,54,0,1422,54,4,48,1,245,233,6694,"false"
1,0,"7.0","4.0",0,2,12,3,0,3,0,"11.0","0.125",0,0,"1.0",0,0,0,0,0,0,0,31,"0.0",173,4,31,2,"0.0","1.0",828,828,1106,0,0,36,44,"0.0",213,0.666666666666667,"1.0",213,6.87096774193548,6.87096774193548,3,54,0,1422,54,4,48,1,245,233,6694,"false"
1,0,"2.0","1.0",0,1,9,1,0,5,0,"8.0","0.333333333333333",2,4,"1.0",0,2,0,1,0,0,0,31,"0.0",173,4,31,2,"0.0","1.0",828,828,1106,0,0,36,44,"0.0",213,0.666666666666667,"1.0",213,6.87096774193548,6.87096774193548,3,54,0,1422,54,4,48,1,245,233,6694,"false"
0,0,"0.0","0.0",0,3,10,3,0,1,0,"4.0","1.0",0,0,"3.0",0,0,0,0,0,0,0,21,"0.0",44,31,21,17,"0.0","1.0",569,569,764,1,0,35,53,"0.0",91,0.911764705882353,"1.0",91,4.33333333333333,4.33333333333333,3,54,0,1422,54,4,48,1,245,233,6694,"false"
1,0,"0.0","0.0",0,1,3,1,0,1,0,"1.0","0.0",1,2,"0.0",0,1,0,1,0,0,0,21,"0.0",44,31,21,17,"0.0","1.0",569,569,764,1,0,35,53,"0.0",91,0.911764705882353,"1.0",91,4.33333333333333,4.33333333333333,3,54,0,1422,54,4,48,1,245,233,6694,"false"
1,0,"0.0","0.0",0,1,4,1,0,1,0,"1.0","0.0",1,2,"0.0",0,1,0,1,0,0,0,21,"0.0",44,31,21,17,"0.0","1.0",569,569,764,1,0,35,53,"0.0",91,0.911764705882353,"1.0",91,4.33333333333333,4.33333333333333,3,54,0,1422,54,4,48,1,245,233,6694,"false"
0,0,"5.0","1.0",0,5,40,10,0,2,0,"16.0","0.583333333333333",4,14,"7.0",0,8,0,0.5,1,0,2,29,"0.0",106,25,29,4,"0.0","1.0",1371,1371,4344,0,0,27,87,"0.0",328,0.723214285714286,"1.0",328,11.3103448275862,11.3103448275862,8,97,1,2639,106,4,48,1,245,233,6694,"false"
1,0,"43.0","12.0",0,5,96,20,0,12,0,"56.0","0.0227272727272727",0,0,"1.0",0,0,0,0,0,0,0,10,"0.0",96,1,10,3,"0.0","1.0",243,243,16,1,0,28,12,"0.0",47,0.481481481481482,"1.0",47,4.7,4.7,8,97,1,2639,106,4,48,1,245,233,6694,"true"
1,0,"14.0","1.0",0,5,104,33,0,11,0,"26.0","0.0666666666666667",1,2,"1.0",0,1,0,1,0,0,0,5,"0.0",14,1,5,1,"0.0","1.0",174,174,10,0.1,0,1,6,"0.0",45,0.75,"1.0",45,9,9,5,33,0,943,34,4,48,1,245,233,6694,"true"
1,0,"56.0","2.0",0,6,523,139,0,25,0,"105.0","0.3",7,38,"24.0",0,19,0,0.368421052631579,1,0,2,29,"0.0",106,25,29,4,"0.0","1.0",1371,1371,4344,0,0,27,87,"0.0",328,0.723214285714286,"1.0",328,11.3103448275862,11.3103448275862,8,97,1,2639,106,4,48,1,245,233,6694,"true"
2,0,"83.0","8.0",0,6,257,75,0,16,0,"101.0","0.0235294117647059",3,10,"2.0",0,5,0,0.6,0,0,0,31,"0.0",173,4,31,2,"0.0","1.0",828,828,1106,0,0,36,44,"0.0",213,0.666666666666667,"1.0",213,6.87096774193548,6.87096774193548,3,54,0,1422,54,4,48,1,245,233,6694,"true"
1,0,"47.0","11.0",0,10,103,43,0,17,0,"65.0","0.0208333333333333",1,2,"1.0",0,1,0,1,0,0,0,31,"0.0",173,4,31,2,"0.0","1.0",828,828,1106,0,0,36,44,"0.0",213,0.666666666666667,"1.0",213,6.87096774193548,6.87096774193548,3,54,0,1422,54,4,48,1,245,233,6694,"true"
1,0,"6.0","3.0",0,6,125,21,0,20,0,"26.0","0.0",2,4,"0.0",0,2,0,1,0,0,0,21,"0.0",44,31,21,17,"0.0","1.0",569,569,764,1,0,35,53,"0.0",91,0.911764705882353,"1.0",91,4.33333333333333,4.33333333333333,3,54,0,1422,54,4,48,1,245,233,6694,"true"
0,1,"0.0","0.0",1,1,4,1,0,0,0,"2.0","0.0",1,2,"0.0",0,1,0,1,4,83,0,161,"2.0",10,16,78,47,"26.0","2.0",1585,792,19816,0.134819532908705,0,36,296,"0.0",174,0.98656914893617,"0.490196078431373",89,1.08074534161491,1.14102564102564,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,"false"
0,0,"0.0","0.0",0,1,4,1,0,0,0,"1.0","1.0",0,1,"1.0",0,0,0,0,1,3,0,17,"1.0",0,1,14,2,"0.0","1.0",146,120,263,0.466666666666667,0,6,29,"1.0",17,0.65625,"0.8125",14,1,1,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,"false"
3,0,"1.0","1.0",0,2,16,2,0,4,0,"4.0","0.0",3,10,"0.0",0,5,0,0.6,0,0,0,5,"1.0",2,3,5,1,"2.0","2.0",55,55,58,0,0,6,13,"0.0",6,1,"1.0",6,1.2,1.2,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,"false"
0,2,"0.0","0.0",3,1,4,1,0,0,0,"1.0","1.0",0,0,"1.0",0,0,0,0,3,38,0,71,"0.0",12,10,33,46,"0.0","1.0",766,427,7564,0.0727272727272727,1,27,145,"2.0",92,0.992857142857143,"0.442857142857143",53,1.29577464788732,1.60606060606061,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,"false"
0,0,"0.0","0.0",0,1,4,1,0,0,0,"1.0","1.0",0,0,"1.0",0,0,0,0,3,95,1,184,"1.0",4,18,89,82,"0.0","1.0",1790,920,40917,0.101365611421477,23,25,299,"2.0",216,0.993869119019059,"0.426470588235294",119,1.17391304347826,1.33707865168539,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,"false"
1,0,"0.0","0.0",0,1,4,1,0,1,0,"3.0","1.0",1,0,"1.0",0,1,0,1,1,122,0,201,"1.0",14,18,79,64,"31.0","2.0",1849,791,30542,0.0877620425359119,0,33,336,"0.0",223,0.99046875,"0.39",93,1.10945273631841,1.17721518987342,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,"false"
0,0,"0.0","0.0",0,1,4,1,0,0,0,"1.0","1.0",2,4,"1.0",0,2,0,1,2,25,0,62,"0.0",1,5,37,17,"0.0","1.0",619,394,5347,1,0,11,100,"0.0",63,0.9450337512054,"0.590163934426229",38,1.01612903225806,1.02702702702703,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,"false"
3,1,"0.0","0.0",1,1,5,1,0,3,0,"5.0","1.0",1,2,"2.0",0,1,0,1,0,0,0,3,"0.0",0,2,3,6,"0.0","1.0",29,29,12,0,0,3,5,"0.0",3,1.33333333333333,"0.0",3,1,1,96,756,11,17329,801,66,1571,291,17113,11938,260912,"false"
